Date,State,NewCases,Recoveries,Deaths,HospitalBedsOccupied,ICUBedsOccupied,AgeGroup_HighestImpact,VaccinationDosesAdministered,PositivityRate_Pct
2021-01-01,Maharashtra,660,627,9,264,66,46-65,10000,13.2
2021-01-01,Maharashtra,469,445,7,187,46,46-65,10500,9.38
2021-01-01,Maharashtra,633,601,9,253,63,0-17,11000,12.66
2021-01-01,Karnataka,449,426,6,179,44,18-45,11500,8.98
2021-01-01,Kerala,556,528,8,222,55,0-17,12000,11.12
2021-01-02,Karnataka,541,513,8,216,54,65+,12500,10.82
2021-01-02,Karnataka,442,419,6,176,44,0-17,13000,8.84
2021-01-02,Maharashtra,472,448,7,188,47,0-17,13500,9.44
2021-01-02,Tamil Nadu,291,276,4,116,29,65+,14000,5.82
2021-01-02,Tamil Nadu,485,460,7,194,48,46-65,14500,9.7
2021-01-03,Karnataka,456,433,6,182,45,18-45,15000,9.12
2021-01-03,Karnataka,171,162,2,68,17,18-45,15500,3.42
2021-01-03,Karnataka,617,586,9,246,61,0-17,16000,12.34
2021-01-03,Kerala,284,269,4,113,28,18-45,16500,5.68
2021-01-03,Maharashtra,450,427,6,180,45,0-17,17000,9.0
2021-01-04,Delhi,364,345,5,145,36,46-65,17500,7.28
2021-01-04,Karnataka,724,687,10,289,72,65+,18000,14.48
2021-01-04,Maharashtra,553,525,8,221,55,0-17,18500,11.06
2021-01-04,Kerala,658,625,9,263,65,46-65,19000,13.16
2021-01-04,Maharashtra,577,548,8,230,57,0-17,19500,11.54
2021-01-05,Tamil Nadu,666,632,9,266,66,65+,20000,13.32
2021-01-05,Maharashtra,299,284,4,119,29,46-65,20500,5.98
2021-01-05,Tamil Nadu,519,493,7,207,51,18-45,21000,10.38
2021-01-05,Delhi,391,371,5,156,39,0-17,21500,7.82
2021-01-05,Kerala,471,447,7,188,47,65+,22000,9.42
2021-01-06,Karnataka,389,369,5,155,38,0-17,22500,7.78
2021-01-06,Maharashtra,869,825,13,347,86,18-45,23000,17.38
2021-01-06,Kerala,680,646,10,272,68,0-17,23500,13.6
2021-01-06,Delhi,484,459,7,193,48,18-45,24000,9.68
2021-01-06,Delhi,407,386,6,162,40,65+,24500,8.14
2021-01-07,Karnataka,603,572,9,241,60,46-65,25000,12.06
2021-01-07,Maharashtra,455,432,6,182,45,0-17,25500,9.1
2021-01-07,Delhi,499,474,7,199,49,0-17,26000,9.98
2021-01-07,Karnataka,445,422,6,178,44,46-65,26500,8.9
2021-01-07,Delhi,569,540,8,227,56,46-65,27000,11.38
2021-01-08,Tamil Nadu,357,339,5,142,35,65+,27500,7.14
2021-01-08,Tamil Nadu,327,310,4,130,32,18-45,28000,6.54
2021-01-08,Maharashtra,793,753,11,317,79,65+,28500,15.86
2021-01-08,Karnataka,448,425,6,179,44,18-45,29000,8.96
2021-01-08,Karnataka,664,630,9,265,66,65+,29500,13.28
2021-01-09,Tamil Nadu,741,703,11,296,74,18-45,30000,14.82
2021-01-09,Tamil Nadu,404,383,6,161,40,65+,30500,8.08
2021-01-09,Maharashtra,587,557,8,234,58,65+,31000,11.74
2021-01-09,Tamil Nadu,572,543,8,228,57,18-45,31500,11.44
2021-01-09,Kerala,496,471,7,198,49,18-45,32000,9.92
2021-01-10,Tamil Nadu,827,785,12,330,82,46-65,32500,16.54
2021-01-10,Maharashtra,530,503,7,212,53,18-45,33000,10.6
2021-01-10,Delhi,593,563,8,237,59,0-17,33500,11.86
2021-01-10,Tamil Nadu,505,479,7,202,50,18-45,34000,10.1
2021-01-10,Tamil Nadu,388,368,5,155,38,0-17,34500,7.76
2021-01-11,Maharashtra,678,644,10,271,67,65+,35000,13.56
2021-01-11,Karnataka,329,312,4,131,32,0-17,35500,6.58
2021-01-11,Maharashtra,735,698,11,294,73,46-65,36000,14.7
2021-01-11,Karnataka,556,528,8,222,55,46-65,36500,11.12
2021-01-11,Delhi,384,364,5,153,38,18-45,37000,7.68
2021-01-12,Maharashtra,421,399,6,168,42,0-17,37500,8.42
2021-01-12,Tamil Nadu,302,286,4,120,30,0-17,38000,6.04
2021-01-12,Kerala,561,532,8,224,56,46-65,38500,11.22
2021-01-12,Tamil Nadu,256,243,3,102,25,65+,39000,5.12
2021-01-12,Kerala,660,627,9,264,66,65+,39500,13.2
2021-01-13,Karnataka,468,444,7,187,46,46-65,40000,9.36
2021-01-13,Maharashtra,355,337,5,142,35,65+,40500,7.1
2021-01-13,Delhi,616,585,9,246,61,0-17,41000,12.32
2021-01-13,Kerala,476,452,7,190,47,18-45,41500,9.52
2021-01-13,Delhi,614,583,9,245,61,65+,42000,12.28
2021-01-14,Kerala,580,551,8,232,58,18-45,42500,11.6
2021-01-14,Tamil Nadu,435,413,6,174,43,65+,43000,8.7
2021-01-14,Maharashtra,630,598,9,252,63,18-45,43500,12.6
2021-01-14,Delhi,381,361,5,152,38,65+,44000,7.62
2021-01-14,Karnataka,736,699,11,294,73,46-65,44500,14.72
2021-01-15,Tamil Nadu,377,358,5,150,37,18-45,45000,7.54
2021-01-15,Delhi,511,485,7,204,51,0-17,45500,10.22
2021-01-15,Maharashtra,513,487,7,205,51,0-17,46000,10.26
2021-01-15,Karnataka,192,182,2,76,19,18-45,46500,3.84
2021-01-15,Maharashtra,529,502,7,211,52,0-17,47000,10.58
2021-01-16,Maharashtra,323,306,4,129,32,0-17,47500,6.46
2021-01-16,Karnataka,631,599,9,252,63,46-65,48000,12.62
2021-01-16,Karnataka,471,447,7,188,47,18-45,48500,9.42
2021-01-16,Maharashtra,478,454,7,191,47,18-45,49000,9.56
2021-01-16,Maharashtra,628,596,9,251,62,46-65,49500,12.56
2021-01-17,Kerala,686,651,10,274,68,18-45,50000,13.72
2021-01-17,Tamil Nadu,593,563,8,237,59,65+,50500,11.86
2021-01-17,Karnataka,538,511,8,215,53,0-17,51000,10.76
2021-01-17,Kerala,726,689,10,290,72,65+,51500,14.52
2021-01-17,Delhi,726,689,10,290,72,18-45,52000,14.52
2021-01-18,Delhi,692,657,10,276,69,18-45,52500,13.84
2021-01-18,Karnataka,288,273,4,115,28,65+,53000,5.76
2021-01-18,Tamil Nadu,534,507,8,213,53,65+,53500,10.68
2021-01-18,Maharashtra,371,352,5,148,37,0-17,54000,7.42
2021-01-18,Maharashtra,608,577,9,243,60,46-65,54500,12.16
2021-01-19,Kerala,350,332,5,140,35,18-45,55000,7.0
2021-01-19,Kerala,529,502,7,211,52,65+,55500,10.58
2021-01-19,Delhi,397,377,5,158,39,65+,56000,7.94
2021-01-19,Karnataka,101,95,1,40,10,46-65,56500,2.02
2021-01-19,Delhi,432,410,6,172,43,18-45,57000,8.64
2021-01-20,Delhi,583,553,8,233,58,0-17,57500,11.66
2021-01-20,Delhi,322,305,4,128,32,18-45,58000,6.44
2021-01-20,Delhi,461,437,6,184,46,0-17,58500,9.22
2021-01-20,Kerala,771,732,11,308,77,46-65,59000,15.42
2021-01-20,Maharashtra,229,217,3,91,22,65+,59500,4.58
2021-01-21,Maharashtra,465,441,6,186,46,46-65,60000,9.3
2021-01-21,Delhi,281,266,4,112,28,65+,60500,5.62
2021-01-21,Kerala,731,694,10,292,73,18-45,61000,14.62
2021-01-21,Kerala,417,396,6,166,41,0-17,61500,8.34
2021-01-21,Kerala,357,339,5,142,35,65+,62000,7.14
2021-01-22,Tamil Nadu,373,354,5,149,37,18-45,62500,7.46
2021-01-22,Delhi,788,748,11,315,78,0-17,63000,15.76
2021-01-22,Delhi,479,455,7,191,47,18-45,63500,9.58
2021-01-22,Kerala,335,318,5,134,33,46-65,64000,6.7
2021-01-22,Tamil Nadu,356,338,5,142,35,18-45,64500,7.12
2021-01-23,Maharashtra,639,607,9,255,63,0-17,65000,12.78
2021-01-23,Tamil Nadu,705,669,10,282,70,0-17,65500,14.1
2021-01-23,Maharashtra,277,263,4,110,27,46-65,66000,5.54
2021-01-23,Maharashtra,649,616,9,259,64,65+,66500,12.98
2021-01-23,Karnataka,539,512,8,215,53,0-17,67000,10.78
2021-01-24,Delhi,617,586,9,246,61,18-45,67500,12.34
2021-01-24,Kerala,639,607,9,255,63,46-65,68000,12.78
2021-01-24,Delhi,355,337,5,142,35,0-17,68500,7.1
2021-01-24,Karnataka,647,614,9,258,64,46-65,69000,12.94
2021-01-24,Delhi,374,355,5,149,37,0-17,69500,7.48
2021-01-25,Karnataka,493,468,7,197,49,18-45,70000,9.86
2021-01-25,Karnataka,513,487,7,205,51,18-45,70500,10.26
2021-01-25,Maharashtra,190,180,2,76,19,0-17,71000,3.8
2021-01-25,Kerala,529,502,7,211,52,18-45,71500,10.58
2021-01-25,Maharashtra,371,352,5,148,37,18-45,72000,7.42
2021-01-26,Kerala,674,640,10,269,67,18-45,72500,13.48
2021-01-26,Tamil Nadu,406,385,6,162,40,0-17,73000,8.12
2021-01-26,Maharashtra,386,366,5,154,38,0-17,73500,7.72
