Date,Ticker,Open,High,Low,Close,Volume,DailyReturn_Pct
2023-01-01,AAPL,151.58,153.1,150.06,151.58,20738611,1.05
2023-01-02,AAPL,154.1,155.64,152.56,154.1,19360935,1.67
2023-01-03,AAPL,156.2,157.76,154.64,156.2,16612202,1.36
2023-01-04,AAPL,157.68,159.26,156.1,157.68,21550864,0.95
2023-01-05,AAPL,161.88,163.5,160.26,161.88,13979322,2.67
2023-01-06,AAPL,159.87,161.47,158.27,159.87,14659838,-1.24
2023-01-07,AAPL,157.35,158.92,155.78,157.35,19678624,-1.58
2023-01-08,AAPL,159.36,160.95,157.77,159.36,26740353,1.28
2023-01-09,AAPL,163.82,165.46,162.18,163.82,18537018,2.8
2023-01-10,AAPL,166.35,168.01,164.69,166.35,23675501,1.54
2023-01-11,AAPL,166.18,167.84,164.52,166.18,19809767,-0.1
2023-01-12,AAPL,165.58,167.24,163.92,165.58,21449467,-0.36
2023-01-13,AAPL,167.12,168.79,165.45,167.12,20426180,0.93
2023-01-14,AAPL,173.09,174.82,171.36,173.09,23010705,3.57
2023-01-15,AAPL,167.66,169.34,165.98,167.66,14604294,-3.14
2023-01-16,AAPL,169.23,170.92,167.54,169.23,19695714,0.93
2023-01-17,AAPL,163.48,165.11,161.85,163.48,14299838,-3.4
2023-01-18,AAPL,162.83,164.46,161.2,162.83,20770722,-0.4
2023-01-19,AAPL,163.95,165.59,162.31,163.95,18182491,0.69
2023-01-20,AAPL,162.29,163.91,160.67,162.29,18492124,-1.01
2023-01-21,AAPL,164.05,165.69,162.41,164.05,15411923,1.09
2023-01-22,AAPL,164.28,165.92,162.64,164.28,23057805,0.14
2023-01-23,AAPL,163.29,164.92,161.66,163.29,20481093,-0.6
2023-01-24,AAPL,164.81,166.46,163.16,164.81,18025920,0.93
2023-01-25,AAPL,164.64,166.29,162.99,164.64,16099565,-0.1
2023-01-26,AAPL,166.41,168.07,164.75,166.41,20488596,1.07
2023-01-27,AAPL,170.46,172.16,168.76,170.46,22633550,2.43
2023-01-28,AAPL,174.66,176.41,172.91,174.66,23685903,2.46
2023-01-29,AAPL,172.31,174.03,170.59,172.31,21438643,-1.35
2023-01-30,AAPL,174.81,176.56,173.06,174.81,18129077,1.45
2023-01-31,AAPL,179.3,181.09,177.51,179.3,19673779,2.57
2023-02-01,AAPL,181.77,183.59,179.95,181.77,23310308,1.38
2023-02-02,AAPL,183.51,185.35,181.67,183.51,25441901,0.96
2023-02-03,AAPL,192.57,194.5,190.64,192.57,20053982,4.94
2023-02-04,AAPL,196.45,198.41,194.49,196.45,27105585,2.01
2023-02-05,AAPL,194.22,196.16,192.28,194.22,11637930,-1.14
2023-02-06,AAPL,198.16,200.14,196.18,198.16,18841365,2.03
2023-02-07,AAPL,193.59,195.53,191.65,193.59,17862269,-2.31
2023-02-08,AAPL,187.74,189.62,185.86,187.74,25096265,-3.02
2023-02-09,AAPL,193.39,195.32,191.46,193.39,19310611,3.01
2023-02-10,AAPL,193.02,194.95,191.09,193.02,20586460,-0.19
2023-02-11,AAPL,199.67,201.67,197.67,199.67,16819010,3.44
2023-02-12,AAPL,199.21,201.2,197.22,199.21,23743496,-0.23
2023-02-13,AAPL,198.08,200.06,196.1,198.08,17493754,-0.57
2023-02-14,AAPL,198.94,200.93,196.95,198.94,14651139,0.43
2023-02-15,AAPL,200.62,202.63,198.61,200.62,19243209,0.84
2023-02-16,AAPL,203.37,205.4,201.34,203.37,17916605,1.37
2023-02-17,AAPL,205.41,207.46,203.36,205.41,20632334,1.01
2023-02-18,AAPL,200.76,202.77,198.75,200.76,17166969,-2.26
2023-02-19,AAPL,205.9,207.96,203.84,205.9,22873318,2.56
2023-02-20,AAPL,198.98,200.97,196.99,198.98,18693749,-3.36
2023-02-21,AAPL,200.44,202.44,198.44,200.44,21598684,0.73
2023-02-22,AAPL,201.74,203.76,199.72,201.74,21137201,0.65
2023-02-23,AAPL,200.49,202.49,198.49,200.49,20522090,-0.62
2023-02-24,AAPL,196.76,198.73,194.79,196.76,18898794,-1.86
2023-02-25,AAPL,188.75,190.64,186.86,188.75,16829024,-4.07
