StudentID,Gender,ParentEducation,AttendancePercentage,StudyHoursPerWeek,MathScore,ScienceScore,EnglishScore,HistoryScore,OverallAverage,PassStatus
STU-2001,Male,Master,89.9,19.4,84,81,85,87,84.5,Pass
STU-2002,Male,Doctorate,90.6,16.0,69,69,76,67,69.1,Pass
STU-2003,Male,Doctorate,91.4,14.9,59,67,66,63,59.6,Pass
STU-2004,Male,Bachelor,84.5,20.5,79,80,87,71,79.5,Pass
STU-2005,Female,Doctorate,58.1,19.5,60,55,60,52,60.9,Fail
STU-2006,Female,Bachelor,81.2,27.0,76,74,80,80,76.1,Pass
STU-2007,Female,Bachelor,77.7,9.0,53,55,52,50,53.6,Pass
STU-2008,Female,High School,82.9,14.3,61,60,62,56,61.5,Pass
STU-2009,Female,Associate,88.4,25.4,73,72,77,73,73.3,Pass
STU-2010,Female,Bachelor,75.2,17.7,62,67,64,55,62.7,Pass
STU-2011,Male,Bachelor,70.0,31.7,76,65,70,70,76.2,Pass
STU-2012,Female,Associate,63.8,20.3,63,64,67,71,63.1,Pass
STU-2013,Male,Doctorate,86.9,15.4,56,51,61,56,56.2,Pass
STU-2014,Male,Associate,98.4,22.4,85,92,84,84,85.5,Pass
STU-2015,Male,High School,86.0,28.1,71,74,71,65,71.9,Pass
STU-2016,Male,High School,91.9,18.5,88,89,92,94,88.2,Pass
STU-2017,Male,High School,65.5,16.9,67,59,72,67,67.1,Pass
STU-2018,Male,High School,98.9,10.2,69,61,76,61,69.4,Pass
STU-2019,Male,High School,60.0,19.5,55,60,60,59,55.7,Pass
STU-2020,Female,Master,74.1,22.2,58,54,59,64,58.1,Pass
STU-2021,Male,Associate,74.7,14.3,62,56,57,57,62.0,Pass
STU-2022,Female,Associate,91.8,25.1,71,74,65,69,71.3,Pass
STU-2023,Male,High School,95.3,14.7,58,59,56,53,58.5,Pass
STU-2024,Female,Doctorate,57.7,19.0,57,51,67,53,57.5,Fail
STU-2025,Male,High School,74.3,17.8,51,51,54,43,51.4,Pass
STU-2026,Male,Associate,78.0,14.3,58,52,60,56,58.6,Pass
STU-2027,Female,Bachelor,100.0,22.9,76,77,75,78,76.2,Pass
STU-2028,Female,Associate,84.7,17.5,79,81,84,75,79.5,Pass
STU-2029,Female,High School,95.6,25.0,99,108,98,92,99.6,Pass
STU-2030,Female,Associate,77.4,22.5,86,88,80,76,86.4,Pass
STU-2031,Female,Doctorate,86.7,20.6,71,80,77,71,71.5,Pass
STU-2032,Female,Master,67.6,3.4,41,41,42,48,41.6,Fail
STU-2033,Male,Bachelor,92.9,17.0,64,60,68,65,64.3,Pass
STU-2034,Female,Bachelor,77.4,16.0,58,62,58,62,58.2,Pass
STU-2035,Male,Master,59.7,17.0,69,73,72,75,69.8,Fail
STU-2036,Male,High School,83.1,15.8,67,64,71,64,67.5,Pass
STU-2037,Female,Bachelor,91.0,7.9,58,61,55,58,58.4,Pass
STU-2038,Female,High School,81.7,19.9,61,63,67,71,61.6,Pass
STU-2039,Female,Bachelor,73.6,23.2,60,65,58,60,60.5,Pass
STU-2040,Female,High School,78.7,18.2,82,82,84,85,82.7,Pass
STU-2041,Female,Master,90.6,17.6,75,81,82,70,75.3,Pass
STU-2042,Male,Master,73.7,17.0,77,76,82,80,77.8,Pass
STU-2043,Female,Doctorate,79.6,22.1,54,54,53,59,54.2,Pass
STU-2044,Female,Doctorate,59.0,9.4,51,52,54,49,51.4,Fail
STU-2045,Male,High School,64.8,15.7,56,52,59,56,56.7,Pass
STU-2046,Male,Associate,74.8,30.2,82,85,81,82,82.6,Pass
STU-2047,Male,Master,79.1,16.4,76,83,78,74,76.1,Pass
STU-2048,Male,Doctorate,79.0,22.1,70,68,73,65,70.2,Pass
STU-2049,Male,Bachelor,74.4,9.4,47,57,45,40,47.9,Fail
STU-2050,Male,Bachelor,65.2,16.8,56,58,59,58,56.2,Pass
STU-2051,Female,Bachelor,90.8,10.5,72,74,70,70,72.7,Pass
STU-2052,Female,Doctorate,85.1,16.3,65,67,68,61,65.5,Pass
STU-2053,Female,High School,71.8,26.6,83,88,87,89,83.6,Pass
STU-2054,Male,Doctorate,79.4,15.6,68,59,71,66,68.7,Pass
STU-2055,Male,Bachelor,62.3,17.9,64,66,65,53,64.9,Pass
STU-2056,Male,Bachelor,79.6,9.1,43,48,46,33,43.6,Fail
STU-2057,Male,Master,78.3,35.6,75,73,79,73,75.9,Pass
STU-2058,Female,Bachelor,68.0,5.7,42,42,43,41,42.6,Fail
STU-2059,Female,Master,87.8,30.6,93,92,87,92,93.3,Pass
STU-2060,Male,High School,88.8,13.7,71,66,78,70,71.5,Pass
STU-2061,Female,Master,62.9,21.8,77,72,75,72,77.5,Pass
STU-2062,Male,Associate,71.7,13.7,56,54,54,51,56.1,Pass
STU-2063,Male,Master,81.4,21.5,72,71,67,68,72.0,Pass
STU-2064,Male,Bachelor,97.0,19.8,80,81,80,71,80.1,Pass
STU-2065,Female,Bachelor,82.1,18.0,59,52,64,56,59.6,Pass
STU-2066,Female,High School,81.2,15.9,64,63,69,62,64.9,Pass
STU-2067,Female,Associate,61.9,15.2,47,48,43,47,47.5,Fail
STU-2068,Male,Master,80.8,30.1,79,75,83,76,79.8,Pass
STU-2069,Female,Doctorate,80.8,27.7,74,74,77,79,74.0,Pass
STU-2070,Female,Associate,92.3,10.8,70,59,77,65,70.0,Pass
STU-2071,Female,Doctorate,82.2,22.5,80,82,80,81,80.3,Pass
STU-2072,Male,Doctorate,87.4,12.2,67,78,69,74,67.1,Pass
STU-2073,Female,Associate,63.7,27.3,72,74,74,70,72.0,Pass
STU-2074,Male,Bachelor,93.7,23.2,78,71,71,79,78.8,Pass
STU-2075,Male,High School,80.5,16.0,67,60,69,68,67.2,Pass
STU-2076,Female,Associate,74.1,20.0,78,76,84,81,78.0,Pass
STU-2077,Male,Master,88.6,15.8,57,56,60,64,57.2,Pass
STU-2078,Female,Bachelor,96.4,15.3,57,64,57,61,57.4,Pass
STU-2079,Female,Associate,89.8,19.3,75,69,77,82,75.3,Pass
STU-2080,Male,Master,98.1,21.9,84,87,85,82,84.2,Pass
STU-2081,Female,Master,80.4,17.6,63,64,65,61,63.4,Pass
STU-2082,Female,High School,87.9,18.5,67,63,62,68,67.3,Pass
STU-2083,Male,Associate,89.8,21.0,83,84,85,83,83.9,Pass
STU-2084,Male,High School,100.0,23.0,90,88,82,88,90.1,Pass
STU-2085,Female,High School,96.1,17.4,70,71,74,64,70.9,Pass
STU-2086,Male,Master,95.7,16.6,78,83,78,78,78.8,Pass
STU-2087,Male,Doctorate,76.7,30.6,63,60,61,56,63.0,Pass
STU-2088,Male,Doctorate,90.9,12.1,78,90,78,75,78.5,Pass
STU-2089,Male,Bachelor,66.2,23.7,67,70,77,62,67.9,Pass
STU-2090,Female,High School,65.7,16.7,51,51,54,44,51.9,Pass
STU-2091,Male,Associate,72.5,20.8,62,62,65,54,62.9,Pass
STU-2092,Male,Bachelor,100.0,27.0,76,67,80,75,76.9,Pass
STU-2093,Male,Associate,100.0,13.2,72,69,75,77,72.0,Pass
STU-2094,Female,Master,90.9,20.6,74,67,77,74,74.4,Pass
STU-2095,Male,Associate,68.5,23.4,66,61,66,65,66.6,Pass
STU-2096,Male,High School,84.2,21.7,74,74,76,70,74.0,Pass
STU-2097,Female,Master,90.9,22.2,71,75,73,72,71.7,Pass
STU-2098,Female,Associate,69.0,25.6,49,49,47,50,49.5,Fail
STU-2099,Female,Doctorate,86.4,19.9,61,56,62,62,61.6,Pass
STU-2100,Female,Master,93.7,12.0,58,59,67,56,58.9,Pass
STU-2101,Female,Master,100.0,18.1,69,65,72,66,69.0,Pass
STU-2102,Male,Doctorate,92.7,8.1,49,41,57,43,49.7,Fail
STU-2103,Female,Master,95.5,13.1,77,69,83,84,77.0,Pass
STU-2104,Male,Associate,60.4,10.7,44,44,44,48,44.4,Fail
STU-2105,Female,Doctorate,90.7,18.7,80,76,77,80,80.7,Pass
STU-2106,Male,Associate,65.1,23.5,72,74,78,73,72.2,Pass
STU-2107,Female,Master,73.3,20.5,72,76,75,70,72.2,Pass
STU-2108,Male,Bachelor,79.0,15.5,74,80,72,80,74.2,Pass
STU-2109,Female,Doctorate,78.7,20.3,72,68,76,73,72.5,Pass
STU-2110,Female,Doctorate,76.4,23.2,89,90,91,85,89.8,Pass
STU-2111,Male,Master,75.2,21.3,79,76,83,82,79.5,Pass
STU-2112,Female,Associate,91.2,18.6,75,70,79,63,75.1,Pass
STU-2113,Male,Associate,92.9,23.0,73,79,72,74,73.2,Pass
STU-2114,Male,High School,81.5,16.6,67,77,62,63,67.3,Pass
STU-2115,Female,Master,79.9,22.7,69,68,73,66,69.4,Pass
STU-2116,Female,Bachelor,81.0,17.9,80,75,83,76,80.8,Pass
