Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax,Total,Date,Time,Payment,Rating
INV000001,C,Naypyitaw,Normal,Male,Food and beverages,63.12,10,31.56,662.76,01-01-2023,07:46,Ewallet,6.8
INV000002,A,Yangon,Member,Male,Fashion accessories,15.02,8,6.008,126.168,01-01-2023,23:57,Ewallet,5.1
INV000003,A,Yangon,Member,Female,Food and beverages,48.44,1,2.422,50.862,01-01-2023,07:54,Cash,4.8
INV000004,A,Yangon,Member,Female,Fashion accessories,79.88,3,11.982,251.622,01-01-2023,21:07,Cash,4.3
INV000005,C,Naypyitaw,Member,Male,Electronic accessories,94.45,2,9.445,198.345,01-01-2023,12:56,Ewallet,5.4
INV000006,A,Yangon,Normal,Female,Food and beverages,84.15,3,12.6225,265.0725,01-01-2023,03:25,Cash,5.1
INV000007,B,Mandalay,Member,Female,Electronic accessories,60.53,2,6.053,127.113,01-01-2023,12:09,Cash,6.4
INV000008,B,Mandalay,Normal,Male,Fashion accessories,27.44,9,12.348,259.308,01-01-2023,04:55,Credit card,8.5
INV000009,C,Naypyitaw,Normal,Male,Sports and travel,64.03,9,28.8135,605.0835,01-01-2023,19:40,Credit card,4.4
INV000010,B,Mandalay,Normal,Female,Home and lifestyle,27.7,8,11.08,232.68,01-01-2023,06:58,Credit card,4.4
INV000011,C,Naypyitaw,Member,Male,Health and beauty,65.47,2,6.547,137.487,01-01-2023,17:36,Ewallet,5.9
INV000012,A,Yangon,Normal,Female,Fashion accessories,88.96,1,4.448,93.408,01-01-2023,10:12,Credit card,9.1
INV000013,B,Mandalay,Member,Female,Home and lifestyle,56.52,10,28.26,593.46,01-01-2023,14:51,Ewallet,4.2
INV000014,C,Naypyitaw,Member,Female,Sports and travel,90.77,7,31.7695,667.1595,01-01-2023,03:50,Cash,8.5
INV000015,A,Yangon,Member,Male,Home and lifestyle,24.35,2,2.435,51.135,01-01-2023,11:21,Credit card,7.8
INV000016,B,Mandalay,Normal,Female,Sports and travel,89.44,10,44.72,939.12,01-01-2023,22:51,Ewallet,9.4
INV000017,A,Yangon,Normal,Male,Sports and travel,41.38,3,6.207,130.347,01-01-2023,23:02,Ewallet,7.2
INV000018,C,Naypyitaw,Normal,Female,Sports and travel,31.73,6,9.519,199.899,01-01-2023,20:56,Cash,4.4
INV000019,A,Yangon,Member,Male,Electronic accessories,73.39,5,18.3475,385.2975,01-01-2023,15:51,Ewallet,7.7
INV000020,C,Naypyitaw,Member,Male,Health and beauty,66.46,2,6.646,139.566,01-01-2023,17:56,Cash,9.9
INV000021,A,Yangon,Normal,Male,Home and lifestyle,31.55,6,9.465,198.765,01-01-2023,04:39,Cash,9.9
INV000022,C,Naypyitaw,Normal,Female,Health and beauty,23.41,6,7.023,147.483,01-01-2023,07:43,Ewallet,7.5
INV000023,B,Mandalay,Member,Male,Home and lifestyle,41.03,7,14.3605,301.5705,02-01-2023,08:08,Cash,6.3
INV000024,B,Mandalay,Member,Female,Health and beauty,20.1,7,7.035,147.735,02-01-2023,23:58,Credit card,5.5
INV000025,C,Naypyitaw,Normal,Male,Sports and travel,57.14,2,5.714,119.994,02-01-2023,14:56,Ewallet,9.4
INV000026,B,Mandalay,Normal,Male,Health and beauty,41.08,3,6.162,129.402,02-01-2023,06:43,Credit card,8.7
INV000027,C,Naypyitaw,Member,Female,Sports and travel,89.97,4,17.994,377.874,02-01-2023,04:13,Ewallet,4.6
INV000028,C,Naypyitaw,Member,Female,Fashion accessories,58.84,6,17.652,370.692,02-01-2023,19:46,Cash,5.3
INV000029,B,Mandalay,Member,Male,Sports and travel,42.62,8,17.048,358.008,02-01-2023,19:18,Credit card,5.8
INV000030,C,Naypyitaw,Normal,Female,Fashion accessories,31.72,6,9.516,199.836,02-01-2023,03:49,Cash,9.4
INV000031,C,Naypyitaw,Normal,Female,Health and beauty,61.34,1,3.067,64.407,02-01-2023,07:32,Ewallet,7.0
INV000032,C,Naypyitaw,Normal,Female,Health and beauty,98.51,5,24.6275,517.1775,02-01-2023,08:37,Cash,4.1
INV000033,B,Mandalay,Member,Male,Home and lifestyle,97.25,4,19.45,408.45,02-01-2023,03:10,Ewallet,5.1
INV000034,A,Yangon,Member,Female,Health and beauty,45.13,6,13.539,284.319,02-01-2023,09:29,Credit card,4.4
INV000035,A,Yangon,Normal,Male,Electronic accessories,32.62,10,16.31,342.51,02-01-2023,23:29,Ewallet,9.1
INV000036,A,Yangon,Normal,Male,Food and beverages,36.39,10,18.195,382.095,02-01-2023,15:20,Cash,4.5
INV000037,A,Yangon,Normal,Female,Health and beauty,16.31,3,2.4465,51.3765,02-01-2023,07:50,Ewallet,7.5
INV000038,C,Naypyitaw,Normal,Male,Health and beauty,23.8,6,7.14,149.94,02-01-2023,05:13,Credit card,5.5
INV000039,A,Yangon,Member,Male,Sports and travel,39.07,8,15.628,328.188,02-01-2023,17:56,Ewallet,9.8
INV000040,C,Naypyitaw,Normal,Female,Sports and travel,46.61,3,6.9915,146.8215,02-01-2023,13:42,Ewallet,4.8
INV000041,B,Mandalay,Normal,Male,Health and beauty,45.5,3,6.825,143.325,02-01-2023,18:01,Ewallet,4.2
INV000042,B,Mandalay,Normal,Male,Sports and travel,46.4,10,23.2,487.2,02-01-2023,10:33,Ewallet,5.5
INV000043,C,Naypyitaw,Normal,Female,Food and beverages,34.91,7,12.2185,256.5885,02-01-2023,11:43,Cash,7.7
INV000044,C,Naypyitaw,Member,Female,Home and lifestyle,77.45,9,34.8525,731.9025,02-01-2023,21:48,Ewallet,4.3
INV000045,A,Yangon,Normal,Female,Food and beverages,52.2,10,26.1,548.1,03-01-2023,07:53,Cash,6.8
INV000046,A,Yangon,Member,Male,Electronic accessories,64.81,5,16.2025,340.2525,03-01-2023,18:43,Ewallet,6.2
INV000047,C,Naypyitaw,Normal,Male,Food and beverages,70.87,8,28.348,595.308,03-01-2023,05:35,Cash,4.2
INV000048,C,Naypyitaw,Normal,Female,Sports and travel,44.55,1,2.2275,46.7775,03-01-2023,15:56,Cash,9.6
INV000049,C,Naypyitaw,Normal,Female,Home and lifestyle,27.43,2,2.743,57.603,03-01-2023,21:16,Ewallet,8.1
INV000050,A,Yangon,Member,Female,Electronic accessories,12.07,2,1.207,25.347,03-01-2023,01:54,Ewallet,4.7
INV000051,B,Mandalay,Normal,Male,Sports and travel,47.2,9,21.24,446.04,03-01-2023,11:15,Ewallet,8.5
INV000052,B,Mandalay,Normal,Female,Sports and travel,43.11,7,15.0885,316.8585,03-01-2023,01:35,Ewallet,9.6
INV000053,B,Mandalay,Member,Male,Health and beauty,31.2,1,1.56,32.76,03-01-2023,01:01,Cash,6.3
INV000054,A,Yangon,Member,Female,Sports and travel,95.31,3,14.2965,300.2265,03-01-2023,01:15,Ewallet,9.7
INV000055,B,Mandalay,Member,Female,Food and beverages,18.16,9,8.172,171.612,03-01-2023,15:47,Cash,8.5
INV000056,B,Mandalay,Normal,Male,Food and beverages,54.0,7,18.9,396.9,03-01-2023,06:37,Cash,6.6
INV000057,B,Mandalay,Member,Female,Sports and travel,71.23,10,35.615,747.915,03-01-2023,08:11,Credit card,9.0
INV000058,C,Naypyitaw,Member,Male,Electronic accessories,89.38,2,8.938,187.698,03-01-2023,00:28,Ewallet,9.9
INV000059,C,Naypyitaw,Member,Female,Health and beauty,94.31,9,42.4395,891.2295,03-01-2023,22:04,Credit card,6.3
INV000060,A,Yangon,Normal,Female,Home and lifestyle,32.14,3,4.821,101.241,03-01-2023,00:38,Cash,5.5
INV000061,C,Naypyitaw,Normal,Female,Sports and travel,78.28,9,35.226,739.746,03-01-2023,17:04,Cash,5.4
