Date,City,Temperature_C,Humidity_Pct,Rainfall_mm,WindSpeed_kmh,AirPressure_hPa,WeatherCondition,ExtremeEvent
2023-01-01,Kolkata,33.2,35.7,19.6,6.0,1012.5,Rainy,None
2023-01-01,Mumbai,31.0,101.1,8.8,6.2,1007.5,Clear,None
2023-01-01,Bangalore,21.6,30.2,40.1,6.3,1024.3,Rainy,None
2023-01-01,Delhi,28.6,61.6,22.1,26.3,1015.5,Rainy,None
2023-01-01,Bangalore,39.3,53.5,9.1,9.4,1022.3,Sunny,None
2023-01-02,Bangalore,28.9,50.8,0.9,9.5,1012.3,Clear,None
2023-01-02,Delhi,26.2,56.0,0.9,12.3,1010.7,Clear,None
2023-01-02,Bangalore,32.6,58.6,8.1,18.4,1012.9,Clear,None
2023-01-02,Chennai,28.5,32.7,0.8,8.0,1004.6,Clear,None
2023-01-02,Mumbai,23.5,81.6,36.3,26.9,1013.0,Rainy,None
2023-01-03,Chennai,27.2,75.1,4.0,6.8,1019.6,Clear,None
2023-01-03,Chennai,31.0,66.3,5.8,6.1,1008.2,Clear,None
2023-01-03,Mumbai,32.2,69.5,12.7,2.5,1016.2,Rainy,None
2023-01-03,Delhi,32.7,68.2,7.3,4.8,1013.9,Clear,None
2023-01-03,Kolkata,27.5,65.6,7.9,24.5,1009.5,Clear,None
2023-01-04,Mumbai,25.0,54.8,5.5,9.6,1005.0,Clear,None
2023-01-04,Delhi,23.3,80.4,6.3,21.5,1008.4,Clear,None
2023-01-04,Kolkata,29.0,56.8,4.6,6.8,1010.3,Clear,None
2023-01-04,Chennai,18.4,73.9,24.1,9.9,1024.4,Rainy,None
2023-01-04,Mumbai,23.0,42.6,5.2,11.0,1016.4,Clear,None
2023-01-05,Mumbai,39.6,86.4,1.3,13.0,1015.8,Sunny,None
2023-01-05,Kolkata,21.1,76.4,4.5,11.4,1013.5,Clear,None
2023-01-05,Bangalore,31.5,87.1,5.7,7.9,1014.4,Clear,None
2023-01-05,Kolkata,31.3,42.6,9.2,19.9,1007.3,Clear,None
2023-01-05,Bangalore,17.5,80.5,2.6,20.2,1013.6,Clear,None
2023-01-06,Kolkata,29.1,70.2,10.4,9.2,1015.4,Rainy,None
2023-01-06,Mumbai,36.5,59.8,7.2,6.5,1014.7,Sunny,None
2023-01-06,Bangalore,29.1,80.0,0.3,4.8,1010.8,Clear,None
2023-01-06,Delhi,32.3,56.5,19.5,7.8,1014.2,Rainy,None
2023-01-06,Bangalore,29.4,65.8,12.6,11.7,1020.3,Rainy,None
2023-01-07,Bangalore,28.4,38.2,10.0,20.9,1007.7,Clear,None
2023-01-07,Mumbai,20.0,62.1,2.6,14.4,1004.3,Clear,None
2023-01-07,Delhi,28.7,46.7,4.0,15.6,1013.8,Clear,None
2023-01-07,Chennai,24.8,76.5,7.7,9.1,1007.6,Clear,None
2023-01-07,Mumbai,35.6,62.1,16.1,20.9,999.2,Rainy,None
2023-01-08,Delhi,20.0,89.4,0.1,13.1,1012.9,Clear,None
2023-01-08,Chennai,33.7,73.9,14.5,22.4,1018.3,Rainy,None
2023-01-08,Bangalore,38.2,58.3,20.2,31.4,1024.1,Rainy,None
2023-01-08,Chennai,29.9,75.2,8.4,4.3,1013.5,Clear,None
2023-01-08,Mumbai,29.2,55.2,19.8,22.8,1018.0,Rainy,None
2023-01-09,Chennai,29.9,76.0,24.0,10.3,1022.1,Rainy,None
2023-01-09,Bangalore,29.8,59.9,11.1,4.2,1018.2,Rainy,None
2023-01-09,Delhi,19.0,64.1,7.9,6.1,1017.5,Clear,None
2023-01-09,Kolkata,28.4,61.4,36.3,11.6,1014.1,Rainy,None
2023-01-09,Delhi,27.7,72.8,23.2,8.3,1002.5,Rainy,None
2023-01-10,Kolkata,31.1,55.4,5.4,23.0,1016.7,Clear,None
2023-01-10,Mumbai,33.6,24.0,51.6,26.3,1007.2,Rainy,Torrential Downpour
2023-01-10,Chennai,30.6,56.4,6.9,20.6,1010.4,Clear,None
2023-01-10,Delhi,34.0,68.5,4.4,12.7,1014.8,Clear,None
2023-01-10,Kolkata,18.3,39.9,27.0,4.9,1012.6,Rainy,None
2023-01-11,Chennai,31.4,82.7,19.0,10.7,1008.5,Rainy,None
2023-01-11,Kolkata,33.1,61.5,3.3,9.6,1011.6,Clear,None
2023-01-11,Kolkata,26.1,82.5,11.5,7.2,1015.4,Rainy,None
2023-01-11,Kolkata,38.1,65.2,8.2,4.9,1003.2,Sunny,None
2023-01-11,Mumbai,26.7,63.9,2.1,4.2,1017.3,Clear,None
2023-01-12,Kolkata,36.8,84.9,10.6,10.2,1010.7,Rainy,None
2023-01-12,Bangalore,31.9,61.3,2.0,26.6,1015.2,Clear,None
2023-01-12,Mumbai,21.2,49.2,4.4,10.5,1000.4,Clear,None
2023-01-12,Bangalore,35.5,63.1,24.7,13.9,1012.4,Rainy,None
2023-01-12,Mumbai,31.2,70.1,2.5,8.7,1009.0,Clear,None
2023-01-13,Delhi,30.4,47.9,10.0,5.7,1017.6,Clear,None
2023-01-13,Delhi,29.5,94.7,12.6,15.2,1012.6,Rainy,None
2023-01-13,Mumbai,28.0,22.0,14.3,10.0,1019.3,Rainy,None
2023-01-13,Mumbai,19.5,67.3,7.1,13.8,1011.3,Clear,None
2023-01-13,Bangalore,37.8,31.1,11.2,15.8,1012.9,Rainy,None
2023-01-14,Delhi,38.7,37.3,21.2,13.2,1009.2,Rainy,None
2023-01-14,Mumbai,30.7,74.3,13.0,11.7,1019.4,Rainy,None
2023-01-14,Mumbai,28.4,87.1,9.2,6.7,1003.3,Clear,None
2023-01-14,Bangalore,35.2,58.1,9.4,2.6,1010.4,Sunny,None
2023-01-14,Delhi,32.1,62.7,0.5,6.5,1016.3,Clear,None
2023-01-15,Delhi,24.1,87.2,0.4,27.8,1006.1,Clear,None
2023-01-15,Chennai,23.2,70.4,14.1,7.6,1016.1,Rainy,None
2023-01-15,Bangalore,35.6,66.3,4.3,14.1,1007.1,Sunny,None
2023-01-15,Mumbai,24.1,62.1,4.4,12.2,1008.2,Clear,None
2023-01-15,Kolkata,18.3,75.2,2.4,13.5,1017.8,Clear,None
2023-01-16,Bangalore,32.5,44.4,18.1,8.2,1018.4,Rainy,None
2023-01-16,Kolkata,33.5,94.5,9.3,8.1,1023.5,Clear,None
2023-01-16,Kolkata,33.7,80.0,7.5,7.6,1007.2,Clear,None
2023-01-16,Kolkata,23.8,61.7,14.8,26.4,1018.0,Rainy,None
2023-01-16,Kolkata,30.3,68.9,16.3,8.0,1002.0,Rainy,None
2023-01-17,Delhi,29.8,76.8,0.7,8.9,1017.9,Clear,None
2023-01-17,Chennai,28.9,43.3,1.0,13.6,1012.6,Clear,None
2023-01-17,Delhi,22.4,80.5,4.6,4.3,1023.3,Clear,None
2023-01-17,Kolkata,25.8,81.1,5.0,7.8,1008.9,Clear,None
2023-01-17,Delhi,29.4,44.7,3.1,6.3,1015.2,Clear,None
2023-01-18,Chennai,25.8,79.1,0.3,8.3,1011.2,Clear,None
2023-01-18,Mumbai,30.6,73.1,26.5,16.3,1011.8,Rainy,None
2023-01-18,Mumbai,22.1,53.0,8.8,12.5,1011.1,Clear,None
2023-01-18,Bangalore,25.3,79.1,9.0,15.4,1011.0,Clear,None
2023-01-18,Mumbai,24.7,63.0,15.0,10.8,1019.0,Rainy,None
2023-01-19,Delhi,23.8,61.3,0.1,8.5,1012.9,Clear,None
2023-01-19,Bangalore,23.5,56.9,28.7,8.9,1006.0,Rainy,None
2023-01-19,Delhi,28.9,59.1,1.6,12.1,1017.9,Clear,None
2023-01-19,Delhi,34.9,78.5,0.8,8.8,1000.5,Clear,None
2023-01-19,Chennai,40.6,68.9,5.6,8.8,1015.9,Sunny,Heatwave
2023-01-20,Mumbai,25.7,66.5,0.2,19.7,1014.0,Clear,None
2023-01-20,Mumbai,18.7,52.8,5.8,17.6,1016.0,Clear,None
2023-01-20,Chennai,34.6,39.6,23.7,8.2,1014.9,Rainy,None
2023-01-20,Kolkata,28.2,70.8,0.5,9.9,1006.2,Clear,None
2023-01-20,Chennai,15.8,58.5,0.1,19.9,1012.4,Clear,None
2023-01-21,Mumbai,29.9,58.2,11.9,12.3,1020.5,Rainy,None
2023-01-21,Chennai,30.5,56.2,2.0,10.6,1012.6,Clear,None
2023-01-21,Mumbai,23.7,7.2,10.3,19.3,999.4,Rainy,None
2023-01-21,Chennai,28.2,73.2,6.0,16.6,1026.9,Clear,None
2023-01-21,Chennai,28.4,106.1,1.4,8.0,1013.3,Clear,None
2023-01-22,Bangalore,31.9,67.2,40.6,7.1,1001.5,Rainy,None
2023-01-22,Delhi,37.6,51.1,1.0,17.6,1009.0,Sunny,None
2023-01-22,Bangalore,29.2,66.8,26.2,7.2,1015.5,Rainy,None
2023-01-22,Kolkata,21.3,38.5,6.5,7.8,1018.7,Clear,None
2023-01-22,Delhi,24.0,50.4,18.4,4.4,1013.6,Rainy,None
2023-01-23,Mumbai,36.4,61.2,14.2,3.7,1009.8,Rainy,None
2023-01-23,Chennai,28.1,63.0,4.9,7.3,1007.1,Clear,None
2023-01-23,Kolkata,33.7,66.3,6.8,23.6,1015.9,Clear,None
2023-01-23,Delhi,22.8,52.2,6.5,12.3,1017.6,Clear,None
2023-01-23,Bangalore,25.5,42.2,4.6,11.9,1005.3,Clear,None
2023-01-24,Kolkata,24.4,80.3,2.5,12.2,1017.8,Clear,None
2023-01-24,Bangalore,28.9,47.4,7.3,7.3,1009.0,Clear,None
2023-01-24,Chennai,30.1,81.9,35.1,14.6,1016.8,Rainy,None
